me,me_eng,symbol,type_eng,type,population,socio_economic_rank,peripherality_rank,distance_tlv,district_eng,district,class_size,bagrut,teacher_student_ratio,income,percent_arab,diabetes,cancer_men,cancer_women,voting_rate_knesset_2021,voting_rate_knesset_2022,voting_rate_municipalities_2018,budget_income,budget_income_per_resident,arno_tax_collection_rate
צפת,Zefat,8000,municipality,עירייה,38029,2,2,142.7,North,הצפון,23,48.8,8.4,7573,0,48.2,320,300.3,56,56,68.1,"283,520","7,566",61
קלנסווה,Qalansawe,638,municipality,עירייה,24205,3,6,24.2,Center,המרכז,26,84,11.5,8138,99.8,118.7,188.8,193.7,35,35,72.4,"153,630","6,434",17
קריית אונו,Qiryat Ono,2620,municipality,עירייה,43241,9,9,0,Tel Aviv,תל אביב,29,92.5,12.6,18456,0,43,292.2,327.6,73.1,73.1,60.5,"349,413","8,339",85
קריית אתא,Qiryat Atta,6800,municipality,עירייה,61142,6,5,86.5,Haifa,חיפה,27,76.8,10.2,10524,0,61.1,363.2,325.6,61.8,61.8,48.6,"477,989","7,953",85
קריית ביאליק,Qiryat Bialik,9500,municipality,עירייה,44620,6,6,86.5,Haifa,חיפה,28,83.4,10.3,10966,0,57.5,369.6,368.4,61,61,54.4,"374,695","8,660",92
קריית גת,Qiryat Gat,2630,municipality,עירייה,64437,4,5,50.1,South,הדרום,24,68.1,10.3,8962,0,66,335.5,297.1,62.6,62.6,69.5,"620,978","10,250",72
קריית ים,Qiryat Yam,9600,municipality,עירייה,41095,5,6,86,Haifa,חיפה,25,75.9,8.7,9036,0,62.1,381.7,349,53.4,53.4,47.3,"305,589","7,748",68
קריית מוצקין,Qiryat Motzkin,8200,municipality,עירייה,48001,7,6,86,Haifa,חיפה,27,82.9,12,11452,0,58.2,406.8,353.4,61.9,61.9,54.4,"275,225","5,911",87
קריית מלאכי,Qiryat Mal'akhi,1034,municipality,עירייה,25705,4,6,35.7,South,הדרום,24,69.7,8.9,8255,0,69.4,334.5,327.3,62.5,62.5,67.6,"230,007","9,192",81
קריית שמונה,Qiryat Shemo,2800,municipality,עירייה,22492,5,1,163.3,North,הצפון,24,75.7,7.7,8979,0,58.8,385.3,319.7,57.2,57.2,65.4,,,
ראש העין,Rosh HaAyin,2640,municipality,עירייה,73678,7,8,11.6,Center,המרכז,27,79.5,11.5,13391,0,62.2,303.8,288.3,74.9,74.9,71.2,"516,266","7,205",89
ראשון לציון,Rishon LeZiyyon,8300,municipality,עירייה,260453,7,9,3.6,Center,המרכז,26,88.6,11,12651,0,50.7,330.1,318,64.4,64.4,51.6,"2,121,202","8,250",84
רהט,Rahat,1161,municipality,עירייה,79064,1,4,76.7,South,הדרום,27,65.3,10.7,7306,99.7,97.9,275.1,164.5,47.8,47.8,84.6,"430,501","5,647",28
רחובות,Rehovot,8400,municipality,עירייה,150748,7,8,13.3,Center,המרכז,27,78.7,11.5,12977,0,49.6,315.2,322.2,66.8,66.8,55,"1,152,655","7,795",95
רמלה,Ramla,8500,municipality,עירייה,79132,5,8,11,Center,המרכז,25,72,9.7,9074,24.8,69.2,311.3,301.6,56.3,56.3,58.7,"602,894","7,750",82
רמת גן,Ramat Gan,8600,municipality,עירייה,172486,8,10,0,Tel Aviv,תל אביב,27,87,11.4,14954,0,41.3,295.2,283.3,64.8,64.8,48.8,"1,527,736","9,002",92
רמת השרון,Ramat HaSharon,2650,municipality,עירייה,48181,9,8,0,Tel Aviv,תל אביב,27,83.9,11.3,19954,0,38.3,313.8,354.2,71.8,71.8,60,"487,713","10,167",95
רעננה,Ra'an,8700,municipality,עירייה,80260,8,8,2.6,Center,המרכז,27,89.6,10.7,16593,0,39.7,314.1,318.3,66.7,66.7,56.8,"861,630","10,968",96
שדרות,Sederot,1031,municipality,עירייה,33002,5,4,61,South,הדרום,24,80.4,9,9804,0,66.1,386.1,272.3,59.8,59.8,68.5,"340,429","11,142",47
שפרעם,Shefar'am,8800,municipality,עירייה,43543,3,5,89,North,הצפון,27,79.5,10.6,8428,99.6,79.6,320.4,257.4,44.8,44.8,79.2,"241,809","5,621",27
תל אביב -יפו,Tel Aviv  Yafo,5000,municipality,עירייה,474530,8,10,0,Tel Aviv,תל אביב,26,79.6,10,16805,4.8,42.8,325.9,336.7,60,60,46.2,"6,279,748","13,422",88
אבו גוש,Abu Ghosh,472,local municipality,מועצה מקומית,7942,3,6,41.3,Jerusalem,ירושלים,24,73.5,8,8652,99,,,,40.2,40.2,86.5,"59,934","7,606",65
